Power [W],Effeciency [%]
0.5,41.39
1,54.59
1.5,61.17
2,65.19
2.5,67.93
3,70.09
3.5,71.14
4,72.46
4.5,73.53
5,74.40
5.5,74.73
6,75.38
6.5,75.93
7,76.42
7.5,76.53
,
