Power [W],Effeciency [%]
0.5,54.35
1,65.79
1.5,70.09
2,72.46
2.5,74.40
3,75.76
3.5,76.75
4,77.22
4.5,77.32
5,77.40
5.5,77.46
6,77.52
6.5,77.57
7,77.43
7.5,77.48
