Power [W],Effeciency [%]
3,64.66
6,76.53
9,80.94
12,83.80
15,85.23
18,86.37
21,87.35
24,87.72
27,88.12
30,88.34
33,88.33
36,88.32
39,88.40
42,87.79
45,87.82
,
,
,
,
,
