4294A REV1.11
"DATE: Dec 29 2017"


"MEASURE PARAMETER: IMPEDANCE MAG PHASE (DEG)"
"ADAPTER: NONE"
"SWEEP TYPE: LIN FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+03	1.560339e-01	0.000000e+00
5.99500000000e+03	8.768129e-01	0.000000e+00
1.09900000000e+04	6.477384e-01	0.000000e+00
1.59850000000e+04	5.347688e-01	0.000000e+00
2.09800000000e+04	6.044110e-01	0.000000e+00
2.59750000000e+04	6.307834e-01	0.000000e+00
3.09700000000e+04	8.531064e-01	0.000000e+00
3.59650000000e+04	1.982572e+00	0.000000e+00
4.09600000000e+04	1.156946e+00	0.000000e+00
4.59550000000e+04	9.992697e-01	0.000000e+00
5.09500000000e+04	9.424358e-01	0.000000e+00
5.59450000000e+04	9.188067e-01	0.000000e+00
6.09400000000e+04	9.043081e-01	0.000000e+00
6.59350000000e+04	8.932843e-01	0.000000e+00
7.09300000000e+04	8.868306e-01	0.000000e+00
7.59250000000e+04	8.854994e-01	0.000000e+00
8.09200000000e+04	8.887525e-01	0.000000e+00
8.59150000000e+04	9.065217e-01	0.000000e+00
9.09100000000e+04	8.930172e-01	0.000000e+00
9.59050000000e+04	8.797240e-01	0.000000e+00
1.00900000000e+05	8.760840e-01	0.000000e+00
1.05895000000e+05	8.740277e-01	0.000000e+00
1.10890000000e+05	8.758000e-01	0.000000e+00
1.15885000000e+05	8.725414e-01	0.000000e+00
1.20880000000e+05	8.729689e-01	0.000000e+00
1.25875000000e+05	8.718684e-01	0.000000e+00
1.30870000000e+05	8.732405e-01	0.000000e+00
1.35865000000e+05	8.693209e-01	0.000000e+00
1.40860000000e+05	8.688574e-01	0.000000e+00
1.45855000000e+05	8.710037e-01	0.000000e+00
1.50850000000e+05	8.719420e-01	0.000000e+00
1.55845000000e+05	8.692176e-01	0.000000e+00
1.60840000000e+05	8.722846e-01	0.000000e+00
1.65835000000e+05	8.686255e-01	0.000000e+00
1.70830000000e+05	8.712813e-01	0.000000e+00
1.75825000000e+05	8.692650e-01	0.000000e+00
1.80820000000e+05	8.695361e-01	0.000000e+00
1.85815000000e+05	8.706551e-01	0.000000e+00
1.90810000000e+05	8.695744e-01	0.000000e+00
1.95805000000e+05	8.698765e-01	0.000000e+00
2.00800000000e+05	8.713052e-01	0.000000e+00
2.05795000000e+05	8.671042e-01	0.000000e+00
2.10790000000e+05	8.723115e-01	0.000000e+00
2.15785000000e+05	8.702321e-01	0.000000e+00
2.20780000000e+05	8.684964e-01	0.000000e+00
2.25775000000e+05	8.702890e-01	0.000000e+00
2.30770000000e+05	8.668622e-01	0.000000e+00
2.35765000000e+05	8.707350e-01	0.000000e+00
2.40760000000e+05	8.715409e-01	0.000000e+00
2.45755000000e+05	8.716520e-01	0.000000e+00
2.50750000000e+05	8.713091e-01	0.000000e+00
2.55745000000e+05	8.705936e-01	0.000000e+00
2.60740000000e+05	8.692896e-01	0.000000e+00
2.65735000000e+05	8.712429e-01	0.000000e+00
2.70730000000e+05	8.705637e-01	0.000000e+00
2.75725000000e+05	8.753724e-01	0.000000e+00
2.80720000000e+05	8.728378e-01	0.000000e+00
2.85715000000e+05	8.742498e-01	0.000000e+00
2.90710000000e+05	8.740695e-01	0.000000e+00
2.95705000000e+05	8.746470e-01	0.000000e+00
3.00700000000e+05	8.741761e-01	0.000000e+00
3.05695000000e+05	8.742837e-01	0.000000e+00
3.10690000000e+05	8.726498e-01	0.000000e+00
3.15685000000e+05	8.726708e-01	0.000000e+00
3.20680000000e+05	8.723233e-01	0.000000e+00
3.25675000000e+05	8.724678e-01	0.000000e+00
3.30670000000e+05	8.738376e-01	0.000000e+00
