4294A REV1.11
"DATE: Dec 28 2017"


"MEASURE PARAMETER: Cs - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LIN FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
4.00000000000e+01	5.532237e-05	0.000000e+00
5.03980000000e+03	5.199941e-05	0.000000e+00
1.00396000000e+04	5.139480e-05	0.000000e+00
1.50394000000e+04	5.112651e-05	0.000000e+00
2.00392000000e+04	5.092792e-05	0.000000e+00
2.50390000000e+04	5.100504e-05	0.000000e+00
3.00388000000e+04	5.218603e-05	0.000000e+00
3.50386000000e+04	5.025467e-05	0.000000e+00
4.00384000000e+04	5.083776e-05	0.000000e+00
4.50382000000e+04	5.313253e-05	0.000000e+00
5.00380000000e+04	5.241790e-05	0.000000e+00
5.50378000000e+04	5.015929e-05	0.000000e+00
6.00376000000e+04	5.322883e-05	0.000000e+00
6.50374000000e+04	5.313577e-05	0.000000e+00
7.00372000000e+04	5.605433e-05	0.000000e+00
7.50370000000e+04	5.614627e-05	0.000000e+00
8.00368000000e+04	5.772960e-05	0.000000e+00
8.50366000000e+04	5.656208e-05	0.000000e+00
9.00364000000e+04	5.876040e-05	0.000000e+00
9.50362000000e+04	5.787288e-05	0.000000e+00
1.00036000000e+05	6.154446e-05	0.000000e+00
1.05035800000e+05	6.533425e-05	0.000000e+00
1.10035600000e+05	7.358067e-05	0.000000e+00
1.15035400000e+05	6.652209e-05	0.000000e+00
1.20035200000e+05	6.850782e-05	0.000000e+00
1.25035000000e+05	7.076006e-05	0.000000e+00
1.30034800000e+05	7.042323e-05	0.000000e+00
1.35034600000e+05	7.767480e-05	0.000000e+00
1.40034400000e+05	7.809183e-05	0.000000e+00
1.45034200000e+05	1.068162e-04	0.000000e+00
1.50034000000e+05	1.007297e-04	0.000000e+00
1.55033800000e+05	8.991492e-05	0.000000e+00
1.60033600000e+05	1.283976e-04	0.000000e+00
1.65033400000e+05	1.393003e-04	0.000000e+00
1.70033200000e+05	1.478863e-04	0.000000e+00
1.75033000000e+05	1.989809e-04	0.000000e+00
1.80032800000e+05	2.899699e-04	0.000000e+00
