LECROYWR640Zi,0,Waveform
Segments,1,SegmentSize,12502
Segment,TrigTime,TimeSinceSegment1
#1,17-Jan-2018 19:34:01,0                 
Time,Ampl
-0.0001250329,0.43762
-0.0001249929,0.43762
-0.0001249529,1.10181
-0.0001249129,-0.226567
-0.0001248729,0.43762
-0.0001248329,0.105526
-0.0001247929,0.43762
-0.0001247529,0.43762
-0.0001247129,0.105526
-0.0001246729,0.769713
-0.0001246329,0.769713
-0.0001245929,0.43762
-0.0001245529,0.769713
-0.0001245129,0.769713
-0.0001244729,1.10181
-0.0001244329,0.43762
-0.0001243929,0.105526
-0.0001243529,0.43762
-0.0001243129,0.769713
-0.0001242729,0.43762
-0.0001242329,0.43762
-0.0001241929,0.43762
-0.0001241529,0.769713
-0.0001241129,0.43762
-0.0001240729,0.769713
-0.0001240329,0.43762
-0.0001239929,0.769713
-0.0001239529,0.105526
-0.0001239129,0.43762
-0.0001238729,0.43762
-0.0001238329,1.10181
-0.0001237929,-0.226567
-0.0001237529,0.43762
-0.0001237129,0.43762
-0.0001236729,0.769713
-0.0001236329,0.43762
-0.0001235929,0.105526
-0.0001235529,0.43762
-0.0001235129,1.10181
-0.0001234729,0.105526
-0.0001234329,0.105526
-0.0001233929,0.769713
-0.0001233529,0.769713
-0.0001233129,-0.226567
-0.0001232729,0.769713
-0.0001232329,0.43762
-0.0001231929,0.43762
-0.0001231529,0.769713
-0.0001231129,0.105526
-0.0001230729,0.43762
-0.0001230329,0.43762
-0.0001229929,0.105526
-0.0001229529,0.769713
-0.0001229129,0.43762
-0.0001228729,1.10181
-0.0001228329,0.43762
-0.0001227929,1.10181
-0.0001227529,0.769713
-0.0001227129,0.43762
-0.0001226729,0.43762
-0.0001226329,0.43762
-0.0001225929,0.43762
-0.0001225529,1.10181
-0.0001225129,0.769713
-0.0001224729,0.43762
-0.0001224329,0.769713
-0.0001223929,1.10181
-0.0001223529,0.43762
-0.0001223129,0.43762
-0.0001222729,0.43762
-0.0001222329,0.43762
-0.0001221929,0.43762
-0.0001221529,0.105526
-0.0001221129,0.43762
-0.0001220729,1.10181
-0.0001220329,0.43762
-0.0001219929,0.43762
-0.0001219529,0.43762
-0.0001219129,1.10181
-0.0001218729,0.769713
-0.0001218329,0.769713
-0.0001217929,0.769713
-0.0001217529,0.43762
-0.0001217129,0.43762
-0.0001216729,0.769713
-0.0001216329,0.43762
-0.0001215929,0.43762
-0.0001215529,0.43762
-0.0001215129,0.43762
-0.0001214729,0.43762
-0.0001214329,0.769713
-0.0001213929,0.105526
-0.0001213529,0.769713
-0.0001213129,0.769713
-0.0001212729,0.43762
-0.0001212329,0.43762
-0.0001211929,0.769713
-0.0001211529,0.43762
-0.0001211129,0.769713
-0.0001210729,0.43762
-0.0001210329,0.769713
-0.0001209929,0.43762
-0.0001209529,0.43762
-0.0001209129,0.43762
-0.0001208729,0.769713
-0.0001208329,0.43762
-0.0001207929,1.10181
-0.0001207529,0.43762
-0.0001207129,0.43762
-0.0001206729,0.105526
-0.0001206329,0.43762
-0.0001205929,0.105526
-0.0001205529,0.43762
-0.0001205129,0.43762
-0.0001204729,0.43762
-0.0001204329,0.43762
-0.0001203929,0.43762
-0.0001203529,1.10181
-0.0001203129,0.43762
-0.0001202729,0.43762
-0.0001202329,0.769713
-0.0001201929,0.43762
-0.0001201529,0.769713
-0.0001201129,0.43762
-0.0001200729,0.43762
-0.0001200329,0.105526
-0.0001199929,0.769713
-0.0001199529,0.43762
-0.0001199129,0.43762
-0.0001198729,0.43762
-0.0001198329,1.10181
-0.0001197929,0.43762
-0.0001197529,0.43762
-0.0001197129,0.43762
-0.0001196729,0.43762
-0.0001196329,0.105526
-0.0001195929,0.43762
-0.0001195529,0.43762
-0.0001195129,1.10181
-0.0001194729,0.105526
-0.0001194329,0.43762
-0.0001193929,0.105526
-0.0001193529,1.10181
-0.0001193129,0.105526
-0.0001192729,0.769713
-0.0001192329,0.43762
-0.0001191929,0.769713
-0.0001191529,0.43762
-0.0001191129,1.10181
-0.0001190729,0.43762
-0.0001190329,0.43762
-0.0001189929,0.105526
-0.0001189529,0.43762
-0.0001189129,0.43762
-0.0001188729,0.43762
-0.0001188329,0.105526
-0.0001187929,0.43762
-0.0001187529,0.43762
-0.0001187129,0.769713
-0.0001186729,0.105526
-0.0001186329,0.43762
